City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,nuuk,64.1835,-51.7216,-0.66,74,20,3.6,GL,1697415808
289,carlos chagas,-17.7031,-40.7664,24.44,66,69,4.38,BR,1697415809
290,rabigh,22.7986,39.0349,28.25,67,0,2.04,SA,1697415809
291,urkarakh,42.163,47.6307,8.75,34,7,2.78,RU,1697415809
292,ixtapa,20.7,-105.2,29.57,79,100,1.54,MX,1697415809
293,villa union,23.2,-106.2333,31.62,74,40,2.57,MX,1697415809
294,eyl,7.9803,49.8164,26.92,74,23,1.85,SO,1697415810
295,atafu village,-8.5421,-172.5159,27.92,78,82,7.78,TK,1697415810
296,san antonio de pale,-1.4014,5.6325,26.13,82,98,6.6,GQ,1697415810
297,bijbehara,33.8,75.1,11.21,56,98,0.96,IN,1697415811
298,hersbruck,49.5125,11.4339,1.53,88,6,0.91,DE,1697415811
299,hithadhoo,-0.6,73.0833,27.34,80,17,8.13,MV,1697415812
300,prince rupert,54.3161,-130.3201,14.05,84,40,9.26,CA,1697415761
301,cotoca,-17.8167,-63.05,28.92,36,9,3.58,BO,1697415812
302,enewetak,11.3474,162.3373,28.59,76,99,5.14,MH,1697415812
303,lospalos,-8.5186,127.0025,27.01,53,73,3.91,TL,1697415813
304,kiruna,67.8557,20.2251,1.51,75,75,10.8,SE,1697415813
305,huejotzingo,19.15,-98.4,13.79,77,100,7.2,MX,1697415763
306,fort mcmurray,56.7268,-111.381,10.77,62,40,2.57,CA,1697415813
307,placido de castro,-10.3353,-67.1856,23.81,90,98,2.94,BR,1697415814
308,iaciara,-14.0958,-46.6317,28.34,31,54,2.91,BR,1697415814
309,pisco,-13.7,-76.2167,19.03,88,0,6.17,PE,1697415814
310,flin flon,54.7682,-101.865,8.24,67,12,2.06,CA,1697415814
311,yurgamysh,55.3714,64.4656,9.91,82,100,4.84,RU,1697415815
312,uturoa,-16.7333,-151.4333,26.09,72,3,3.22,PF,1697415815
313,contamana,-7.3333,-75.0167,26.99,61,78,1.33,PE,1697415815
314,tsiombe,-25.3,45.4833,19.13,85,67,1.3,MG,1697415816
315,timberlake,37.3207,-79.2575,12.12,71,0,1.54,US,1697415816
316,uchiza,-8.4592,-76.4633,21.9,97,88,0.78,PE,1697415816
317,katoya,23.65,88.1333,22.68,71,0,0.26,IN,1697415817
318,iskateley,67.6803,53.1512,0.57,87,100,8.94,RU,1697415817
319,belomorsk,64.5232,34.7668,3.43,85,98,7.21,RU,1697415817
320,brownsville,25.9018,-97.4975,24.49,52,0,3.09,US,1697415818
321,satara,17.6833,73.9833,22.13,73,58,1.76,IN,1697415818
322,great falls,47.5002,-111.3008,17.66,45,0,3.09,US,1697415818
323,alta,69.9689,23.2717,4.59,84,75,6.69,NO,1697415818
324,sabang,5.8933,95.3214,27.31,78,96,8.15,ID,1697415819
325,rawson,-43.3002,-65.1023,10.68,66,86,4.29,AR,1697415819
326,juan griego,11.0817,-63.9655,30.07,74,46,5.14,VE,1697415819
327,uttar char fasson,22.2332,90.7132,24.72,73,12,3.43,BD,1697415820
328,emerald,-23.5333,148.1667,27.41,41,25,3.29,AU,1697415820
329,arraial do cabo,-22.9661,-42.0278,22.16,91,94,6.4,BR,1697415820
330,yuzha,56.5831,42.0122,8.66,88,100,2.47,RU,1697415820
331,mermoz boabab,14.7065,-17.4758,28.88,89,0,0.0,SN,1697415821
332,neryungri,56.6709,124.6491,-9.31,89,66,0.51,RU,1697415821
333,farkhar,36.5729,69.8578,10.25,66,81,0.43,AF,1697415821
334,pita,10.8333,-12.5833,23.09,87,98,1.06,GN,1697415821
335,pesaro,43.9036,12.8903,18.86,66,99,2.24,IT,1697415822
336,mokrous,51.2333,47.5167,12.62,87,10,4.75,RU,1697415822
337,mirny,62.5353,113.9611,-2.09,100,100,1.79,RU,1697415822
338,nchelenge,-9.3451,28.734,22.79,73,96,2.36,ZM,1697415822
339,port saint john's,-31.6229,29.5448,18.26,91,100,6.03,ZA,1697415822
340,urzhar,47.093,81.6294,5.96,76,100,0.85,KZ,1697415823
341,gibong,11.8634,122.0394,27.87,75,75,1.37,PH,1697415823
342,namdrik,5.5994,168.1028,28.68,74,48,4.6,MH,1697415823
343,tadine,-21.55,167.8833,23.92,76,96,7.23,NC,1697415823
344,koundara,12.4833,-13.3,25.89,78,93,1.87,GN,1697415824
345,regina,50.4501,-104.6178,12.77,47,100,7.15,CA,1697415033
346,salina cruz,16.1667,-95.2,28.02,70,94,7.72,MX,1697415824
347,yeniseysk,58.4497,92.1703,6.08,70,100,2.24,RU,1697415825
348,glennville,31.9366,-81.9285,18.39,82,67,3.49,US,1697415825
349,rikaze,29.25,88.8833,3.3,60,60,1.55,CN,1697415825
350,camana,-16.6228,-72.7111,19.03,85,47,2.37,PE,1697415826
351,tanjungtiram,4.0613,98.3699,24.64,91,100,1.2,ID,1697415826
352,vif,45.05,5.6667,8.94,84,100,0.42,FR,1697415827
353,betio village,1.358,172.9211,28.07,73,100,3.1,KI,1697415828
354,qingquan,30.4511,115.2559,19.21,61,0,1.07,CN,1697415828
355,kangiwa,12.5521,3.8187,28.89,39,90,2.23,NG,1697415828
356,osilnica,45.5292,14.6989,9.76,95,99,2.44,HR,1697415829
357,bukama,-9.2,25.85,21.25,91,100,0.53,CD,1697415829
358,mar del plata,-38.0023,-57.5575,13.94,87,0,2.68,AR,1697415829
359,kuhdasht,33.535,47.6061,18.56,33,33,2.12,IR,1697415829
360,hami,42.8,93.45,10.93,37,10,2.82,CN,1697415830
361,akot,21.0964,77.0586,22.93,56,4,1.77,IN,1697415830
362,kuta,-8.7233,115.1723,27.97,83,40,4.12,ID,1697415830
